ticker,timestamp,price,volume,open,high,low,market_cap,pe_ratio
AAPL,2025-08-09T11:42:24.143167,229.35000610351562,113696100,220.8300018310547,231.0,219.25,3403645714432,34.75
TSLA,2025-08-09T11:42:25.212452,329.6499938964844,91006400,321.42999267578125,335.1499938964844,320.9800109863281,1063269564416,196.22025
GOOG,2025-08-09T11:42:26.272229,202.08999633789062,24356300,197.97999572753906,203.42999267578125,197.89999389648438,2438882656256,21.56777
MSFT,2025-08-09T11:42:27.398405,522.0399780273438,15516600,522.5999755859375,524.6599731445312,519.4099731445312,3880411987968,38.160816
AMZN,2025-08-09T11:42:28.514611,222.69000244140625,32916900,223.13999938964844,223.8000030517578,221.8800048828125,2374966444032,33.946648
NVDA,2025-08-09T11:42:29.616733,182.6999969482422,122765700,181.5500030517578,183.3000030517578,180.39999389648438,4455614382080,58.557693
META,2025-08-09T11:42:30.642345,769.2999877929688,7311700,762.75,769.9000244140625,758.5800170898438,1932589268992,27.8934
JPM,2025-08-09T11:42:31.771472,288.760009765625,6634100,288.9800109863281,291.2300109863281,284.7099914550781,794017857536,14.800615
BAC,2025-08-09T11:42:32.895266,46.0099983215332,37121700,45.150001525878906,46.29999923706055,44.97999954223633,340793753600,13.492668
WFC,2025-08-09T11:42:34.063272,77.8499984741211,14121800,77.11000061035156,78.18000030517578,76.3499984741211,249387810816,13.239796
GS,2025-08-09T11:42:35.212798,721.27001953125,1275400,725.8599853515625,728.0,718.6500244140625,218343571456,15.88001
WMT,2025-08-09T11:42:36.293116,103.7300033569336,12392700,103.37000274658203,104.72000122070312,103.1500015258789,827809005568,44.329063
KO,2025-08-09T11:42:37.421493,70.33999633789062,9231200,70.36000061035156,70.87000274658203,70.08000183105469,302720122880,24.943262
PG,2025-08-09T11:42:38.555079,153.50999450683594,5811000,152.77000427246094,153.7899932861328,152.57000732421875,359577223168,23.580643
JNJ,2025-08-09T11:42:39.723168,173.3300018310547,7686200,171.02000427246094,173.9600067138672,170.38999938964844,417437581312,18.537968
